Date,Temperature
2015-08-28,27.1
2015-08-29,24.58
2015-08-30,25.56
2015-08-31,26.44
2015-09-01,26.94
2015-09-02,23.8
2015-09-03,25.06
2015-09-04,24.81
2015-09-05,24.5
2015-09-06,28.1
2015-09-07,26.02
2015-09-08,23.49
2015-09-09,26.72
2015-09-10,28.5
2015-09-11,26.83
2015-09-12,22.98
2015-09-13,24.51
2015-09-14,27.11
2015-09-15,24.12
2015-09-16,25.83
2015-09-17,26.3
2015-09-18,23.73
2015-09-19,25.01
2015-09-20,20.22
2015-09-21,23.53
2015-09-22,24.68
2015-09-23,23.17
2015-09-24,27.48
2015-09-25,22.88
2015-09-26,24.36
2015-09-27,25.21
2015-09-28,27.17
2015-09-29,22.85
2015-09-30,26.75
2015-10-01,25.02
2015-10-02,23.53
2015-10-03,25.7
2015-10-04,25.31
2015-10-05,24.11
2015-10-06,25.13
2015-10-07,24.45
2015-10-08,25.21
2015-10-09,26.04
2015-10-10,27.44
2015-10-11,23.22
2015-10-12,28.29
2015-10-13,22.18
2015-10-14,24.9
2015-10-15,26.03
2015-10-16,25.59
2015-10-17,24.26
2015-10-18,24.91
2015-10-19,24.51
2015-10-20,24.39
2015-10-21,26.58
2015-10-22,25.87
2015-10-23,24.32
2015-10-24,26.74
2015-10-25,25.89
2015-10-26,26.68
2015-10-27,26.45
2015-10-28,24.3
2015-10-29,24.74
2015-10-30,26.74
2015-10-31,26.58
2015-11-01,25.67
2015-11-02,25.93
2015-11-03,27.71
2015-11-04,24.96
2015-11-05,26.71
2015-11-06,25.64
2015-11-07,25.67
2015-11-08,27.69
2015-11-09,27.34
2015-11-10,27.37
2015-11-11,28.17
2015-11-12,26.3
2015-11-13,27.35
2015-11-14,25.92
2015-11-15,26.93
2015-11-16,26.31
2015-11-17,26.71
2015-11-18,27.52
2015-11-19,25.46
2015-11-20,29.9
2015-11-21,25.31
2015-11-22,25.07
2015-11-23,28.69
2015-11-24,28.21
2015-11-25,28.03
2015-11-26,28.11
2015-11-27,27.22
2015-11-28,25.96
2015-11-29,27.5
2015-11-30,26.44
2015-12-01,28.99
2015-12-02,27.39
2015-12-03,26.44
2015-12-04,27.28
2015-12-05,28.46
2015-12-06,27.07
2015-12-07,26.76
2015-12-08,28.44
2015-12-09,28.52
2015-12-10,27.47
2015-12-11,27.61
2015-12-12,28.74
2015-12-13,26.3
2015-12-14,26.45
2015-12-15,27.56
2015-12-16,28.4
2015-12-17,29.27
2015-12-18,31.1
2015-12-19,30.26
2015-12-20,28.82
2015-12-21,29.12
2015-12-22,27.72
2015-12-23,29.29
2015-12-24,28.97
2015-12-25,29.97
2015-12-26,28.33
2015-12-27,30.44
2015-12-28,32.04
2015-12-29,29.66
2015-12-30,30.52
2015-12-31,31.04
2016-01-01,29.48
2016-01-02,30.51
2016-01-03,30.28
2016-01-04,30.49
2016-01-05,29.27
2016-01-06,30.55
2016-01-07,31.35
2016-01-08,32.86
2016-01-09,32.21
2016-01-10,34.09
2016-01-11,29.79
2016-01-12,32.33
2016-01-13,31.38
2016-01-14,34.48
2016-01-15,30.06
2016-01-16,30.1
2016-01-17,30.54
2016-01-18,28.34
2016-01-19,30.82
2016-01-20,30.55
2016-01-21,31.99
2016-01-22,32.36
2016-01-23,34.74
2016-01-24,33.43
2016-01-25,31.22
2016-01-26,30.82
2016-01-27,32.98
2016-01-28,30.34
2016-01-29,35.14
2016-01-30,34.24
2016-01-31,31.84
2016-02-01,30.05
2016-02-02,34.72
2016-02-03,32.59
2016-02-04,34.69
2016-02-05,30.51
2016-02-06,32.07
2016-02-07,33.05
2016-02-08,33.18
2016-02-09,32.5
2016-02-10,34.18
2016-02-11,31.71
2016-02-12,33.16
2016-02-13,33.62
2016-02-14,34.27
2016-02-15,34.63
2016-02-16,31.93
2016-02-17,31.38
2016-02-18,35.65
2016-02-19,34.29
2016-02-20,32.72
2016-02-21,36.23
2016-02-22,34.13
2016-02-23,35.78
2016-02-24,34.16
2016-02-25,37.2
2016-02-26,36.79
2016-02-27,33.83
2016-02-28,35.71
2016-02-29,35.26
2016-03-01,36.39
2016-03-02,32.93
2016-03-03,35.45
2016-03-04,36.05
2016-03-05,31.86
2016-03-06,32.76
2016-03-07,31.51
2016-03-08,34.2
2016-03-09,35.71
2016-03-10,36.92
2016-03-11,34.81
2016-03-12,37.17
2016-03-13,32.69
2016-03-14,32.23
2016-03-15,34.72
2016-03-16,35.4
2016-03-17,34.8
2016-03-18,31.77
2016-03-19,34.76
2016-03-20,32.95
2016-03-21,35.93
2016-03-22,35.49
2016-03-23,33.54
2016-03-24,34.19
2016-03-25,33.38
2016-03-26,34.89
2016-03-27,36.42
2016-03-28,33.51
2016-03-29,35.75
2016-03-30,34.2
2016-03-31,33.81
2016-04-01,34.84
2016-04-02,33.44
2016-04-03,34.16
2016-04-04,33.19
2016-04-05,37.93
2016-04-06,35.03
2016-04-07,33.92
2016-04-08,35.28
2016-04-09,34.77
2016-04-10,34.6
2016-04-11,35.84
2016-04-12,36.03
2016-04-13,34.08
2016-04-14,34.0
2016-04-15,34.43
2016-04-16,31.36
2016-04-17,32.52
2016-04-18,36.82
2016-04-19,37.21
2016-04-20,34.34
2016-04-21,35.55
2016-04-22,35.12
2016-04-23,39.24
2016-04-24,36.27
2016-04-25,34.36
2016-04-26,33.08
2016-04-27,32.07
2016-04-28,34.75
2016-04-29,33.27
2016-04-30,32.23
2016-05-01,33.35
2016-05-02,32.65
2016-05-03,36.76
2016-05-04,35.5
2016-05-05,34.12
2016-05-06,36.3
2016-05-07,34.15
2016-05-08,32.69
2016-05-09,36.21
2016-05-10,34.68
2016-05-11,32.26
2016-05-12,33.48
2016-05-13,32.39
2016-05-14,31.57
2016-05-15,34.98
2016-05-16,36.39
2016-05-17,31.37
2016-05-18,34.25
2016-05-19,32.36
2016-05-20,32.55
2016-05-21,32.32
2016-05-22,31.85
2016-05-23,33.15
2016-05-24,31.76
2016-05-25,33.34
2016-05-26,32.79
2016-05-27,32.44
2016-05-28,31.36
2016-05-29,31.79
2016-05-30,33.71
2016-05-31,33.26
2016-06-01,30.97
2016-06-02,32.5
2016-06-03,33.41
2016-06-04,29.7
2016-06-05,32.94
2016-06-06,31.05
2016-06-07,32.82
2016-06-08,30.74
2016-06-09,29.1
2016-06-10,29.29
2016-06-11,31.72
2016-06-12,31.96
2016-06-13,30.13
2016-06-14,32.36
2016-06-15,28.83
2016-06-16,31.14
2016-06-17,29.34
2016-06-18,30.09
2016-06-19,31.05
2016-06-20,29.61
2016-06-21,30.24
2016-06-22,32.24
2016-06-23,29.78
2016-06-24,31.81
2016-06-25,28.78
2016-06-26,31.18
2016-06-27,32.46
2016-06-28,26.51
2016-06-29,28.93
2016-06-30,30.91
2016-07-01,29.65
2016-07-02,30.43
2016-07-03,28.88
2016-07-04,29.83
2016-07-05,29.38
2016-07-06,31.28
2016-07-07,29.82
2016-07-08,29.86
2016-07-09,28.65
2016-07-10,28.45
2016-07-11,28.45
2016-07-12,29.61
2016-07-13,28.3
2016-07-14,29.28
2016-07-15,31.88
2016-07-16,29.99
2016-07-17,28.11
2016-07-18,30.32
2016-07-19,27.82
2016-07-20,25.3
2016-07-21,26.76
2016-07-22,25.39
2016-07-23,27.58
2016-07-24,28.06
2016-07-25,30.47
2016-07-26,28.37
2016-07-27,27.47
2016-07-28,28.96
2016-07-29,24.33
2016-07-30,27.92
2016-07-31,28.65
2016-08-01,25.2
2016-08-02,29.06
2016-08-03,27.78
2016-08-04,26.58
2016-08-05,28.08
2016-08-06,30.47
2016-08-07,27.26
2016-08-08,27.3
2016-08-09,26.17
2016-08-10,25.51
2016-08-11,27.97
2016-08-12,25.38
2016-08-13,26.7
2016-08-14,25.82
2016-08-15,27.19
2016-08-16,26.91
2016-08-17,27.91
2016-08-18,25.53
2016-08-19,25.83
2016-08-20,24.71
2016-08-21,25.46
2016-08-22,26.64
2016-08-23,27.15
2016-08-24,24.58
2016-08-25,27.22
2016-08-26,27.9
2016-08-27,26.44
2016-08-28,28.59
2016-08-29,24.57
2016-08-30,23.82
2016-08-31,22.97
2016-09-01,27.84
2016-09-02,26.54
2016-09-03,25.44
2016-09-04,25.9
2016-09-05,23.76
2016-09-06,29.08
2016-09-07,25.57
2016-09-08,25.51
2016-09-09,26.4
2016-09-10,26.01
2016-09-11,25.59
2016-09-12,24.05
2016-09-13,25.91
2016-09-14,28.01
2016-09-15,27.18
2016-09-16,27.53
2016-09-17,24.35
2016-09-18,23.62
2016-09-19,24.9
2016-09-20,25.15
2016-09-21,26.7
2016-09-22,22.51
2016-09-23,27.33
2016-09-24,24.79
2016-09-25,24.38
2016-09-26,23.49
2016-09-27,22.52
2016-09-28,26.24
2016-09-29,25.11
2016-09-30,23.07
2016-10-01,23.06
2016-10-02,24.5
2016-10-03,27.51
2016-10-04,24.62
2016-10-05,22.77
2016-10-06,24.66
2016-10-07,24.63
2016-10-08,21.01
2016-10-09,24.98
2016-10-10,24.73
2016-10-11,26.14
2016-10-12,27.88
2016-10-13,26.82
2016-10-14,24.75
2016-10-15,23.51
2016-10-16,29.05
2016-10-17,25.31
2016-10-18,25.27
2016-10-19,25.24
2016-10-20,25.6
2016-10-21,25.11
2016-10-22,24.5
2016-10-23,24.57
2016-10-24,25.38
2016-10-25,24.65
2016-10-26,24.43
2016-10-27,25.7
2016-10-28,25.2
2016-10-29,27.88
2016-10-30,21.69
2016-10-31,27.34
2016-11-01,27.62
2016-11-02,22.69
2016-11-03,25.33
2016-11-04,25.34
2016-11-05,23.83
2016-11-06,24.83
2016-11-07,24.38
2016-11-08,28.73
2016-11-09,27.56
2016-11-10,28.12
2016-11-11,27.35
2016-11-12,24.63
2016-11-13,25.59
2016-11-14,27.18
2016-11-15,24.67
2016-11-16,27.63
2016-11-17,26.27
2016-11-18,26.13
2016-11-19,27.82
2016-11-20,27.49
2016-11-21,26.35
2016-11-22,28.7
2016-11-23,25.4
2016-11-24,28.02
2016-11-25,28.06
2016-11-26,26.77
2016-11-27,27.8
2016-11-28,25.51
2016-11-29,28.84
2016-11-30,27.25
2016-12-01,26.82
2016-12-02,29.26
2016-12-03,26.7
2016-12-04,25.72
2016-12-05,25.58
2016-12-06,28.9
2016-12-07,26.15
2016-12-08,30.78
2016-12-09,25.11
2016-12-10,30.86
2016-12-11,28.71
2016-12-12,28.33
2016-12-13,27.74
2016-12-14,29.24
2016-12-15,28.67
2016-12-16,30.46
2016-12-17,29.06
2016-12-18,29.2
2016-12-19,28.51
2016-12-20,29.06
2016-12-21,29.69
2016-12-22,26.75
2016-12-23,27.38
2016-12-24,30.6
2016-12-25,29.83
2016-12-26,29.38
2016-12-27,29.77
2016-12-28,30.35
2016-12-29,29.1
2016-12-30,28.83
2016-12-31,30.38
2017-01-01,28.62
2017-01-02,30.78
2017-01-03,27.7
2017-01-04,31.89
2017-01-05,31.14
2017-01-06,30.9
2017-01-07,32.08
2017-01-08,33.18
2017-01-09,32.29
2017-01-10,28.1
2017-01-11,29.02
2017-01-12,30.09
2017-01-13,31.15
2017-01-14,31.97
2017-01-15,30.19
2017-01-16,31.64
2017-01-17,30.31
2017-01-18,30.61
2017-01-19,29.5
2017-01-20,30.3
2017-01-21,29.74
2017-01-22,30.38
2017-01-23,33.51
2017-01-24,30.58
2017-01-25,36.03
2017-01-26,32.9
2017-01-27,32.52
2017-01-28,31.03
2017-01-29,33.44
2017-01-30,31.61
2017-01-31,32.73
2017-02-01,36.46
2017-02-02,32.55
2017-02-03,34.49
2017-02-04,31.78
2017-02-05,32.85
2017-02-06,35.63
2017-02-07,32.1
2017-02-08,35.83
2017-02-09,34.24
2017-02-10,32.4
2017-02-11,34.26
2017-02-12,34.83
2017-02-13,34.37
2017-02-14,31.14
2017-02-15,32.47
2017-02-16,33.25
2017-02-17,33.57
2017-02-18,34.67
2017-02-19,34.06
2017-02-20,31.84
2017-02-21,34.47
2017-02-22,34.87
2017-02-23,34.85
2017-02-24,35.68
2017-02-25,35.36
2017-02-26,34.84
2017-02-27,34.1
2017-02-28,31.76
2017-03-01,34.94
2017-03-02,34.65
2017-03-03,34.79
2017-03-04,32.51
2017-03-05,32.84
2017-03-06,36.08
2017-03-07,34.48
2017-03-08,35.59
2017-03-09,34.65
2017-03-10,34.68
2017-03-11,36.08
2017-03-12,33.93
2017-03-13,34.87
2017-03-14,34.06
2017-03-15,34.13
2017-03-16,34.34
2017-03-17,35.16
2017-03-18,34.13
2017-03-19,36.75
2017-03-20,33.55
2017-03-21,34.63
2017-03-22,34.26
2017-03-23,37.11
2017-03-24,35.24
2017-03-25,36.51
2017-03-26,32.74
2017-03-27,35.38
2017-03-28,36.32
2017-03-29,35.12
2017-03-30,36.59
2017-03-31,34.22
2017-04-01,37.11
2017-04-02,38.45
2017-04-03,34.45
2017-04-04,34.33
2017-04-05,37.17
2017-04-06,37.35
2017-04-07,34.19
2017-04-08,34.34
2017-04-09,34.53
2017-04-10,32.93
2017-04-11,33.55
2017-04-12,33.41
2017-04-13,33.75
2017-04-14,34.83
2017-04-15,35.21
2017-04-16,37.17
2017-04-17,33.32
2017-04-18,36.27
2017-04-19,34.45
2017-04-20,34.67
2017-04-21,35.73
2017-04-22,33.0
2017-04-23,35.23
2017-04-24,34.87
2017-04-25,35.33
2017-04-26,34.99
2017-04-27,38.2
2017-04-28,33.52
2017-04-29,33.64
2017-04-30,33.47
2017-05-01,33.53
2017-05-02,33.36
2017-05-03,36.06
2017-05-04,36.36
2017-05-05,33.32
2017-05-06,32.88
2017-05-07,34.79
2017-05-08,33.2
2017-05-09,34.93
2017-05-10,34.23
2017-05-11,31.6
2017-05-12,36.14
2017-05-13,36.46
2017-05-14,32.79
2017-05-15,33.07
2017-05-16,34.02
2017-05-17,34.03
2017-05-18,34.45
2017-05-19,36.42
2017-05-20,33.07
2017-05-21,32.08
2017-05-22,31.14
2017-05-23,32.05
2017-05-24,33.03
2017-05-25,35.7
2017-05-26,32.16
2017-05-27,33.2
2017-05-28,32.77
2017-05-29,34.51
2017-05-30,36.44
2017-05-31,31.78
2017-06-01,31.77
2017-06-02,34.0
2017-06-03,33.38
2017-06-04,35.05
2017-06-05,33.08
2017-06-06,31.59
2017-06-07,32.93
2017-06-08,33.63
2017-06-09,33.12
2017-06-10,32.57
2017-06-11,33.33
2017-06-12,33.4
2017-06-13,33.64
2017-06-14,32.46
2017-06-15,31.15
2017-06-16,31.54
2017-06-17,33.04
2017-06-18,29.93
2017-06-19,31.62
2017-06-20,30.39
2017-06-21,30.94
2017-06-22,32.73
2017-06-23,31.02
2017-06-24,30.71
2017-06-25,28.52
2017-06-26,31.59
2017-06-27,31.36
2017-06-28,33.55
2017-06-29,29.75
2017-06-30,30.46
2017-07-01,30.42
2017-07-02,32.32
2017-07-03,29.73
2017-07-04,30.2
2017-07-05,30.61
2017-07-06,29.89
2017-07-07,28.86
2017-07-08,29.73
2017-07-09,30.97
2017-07-10,27.73
2017-07-11,29.39
2017-07-12,28.05
2017-07-13,30.81
2017-07-14,26.65
2017-07-15,28.01
2017-07-16,29.33
2017-07-17,31.03
2017-07-18,28.5
2017-07-19,27.68
2017-07-20,31.26
2017-07-21,26.18
2017-07-22,24.97
2017-07-23,28.85
2017-07-24,27.36
2017-07-25,26.5
2017-07-26,29.02
2017-07-27,28.24
2017-07-28,26.95
2017-07-29,25.8
2017-07-30,28.95
2017-07-31,28.54
2017-08-01,27.35
2017-08-02,30.19
2017-08-03,25.74
2017-08-04,24.99
2017-08-05,26.16
2017-08-06,27.06
2017-08-07,27.43
2017-08-08,26.63
2017-08-09,27.45
2017-08-10,24.98
2017-08-11,28.96
2017-08-12,26.6
2017-08-13,28.34
2017-08-14,27.11
2017-08-15,27.22
2017-08-16,27.33
2017-08-17,27.08
2017-08-18,27.32
2017-08-19,28.29
2017-08-20,26.53
2017-08-21,27.24
2017-08-22,25.99
2017-08-23,28.23
2017-08-24,25.0
2017-08-25,28.67
2017-08-26,25.86
2017-08-27,23.72
2017-08-28,26.01
2017-08-29,24.75
2017-08-30,26.99
2017-08-31,24.71
2017-09-01,24.97
2017-09-02,22.77
2017-09-03,24.88
2017-09-04,21.88
2017-09-05,23.11
2017-09-06,26.59
2017-09-07,26.59
2017-09-08,26.02
2017-09-09,23.9
2017-09-10,25.24
2017-09-11,25.28
2017-09-12,23.52
2017-09-13,27.49
2017-09-14,26.52
2017-09-15,24.85
2017-09-16,25.2
2017-09-17,25.45
2017-09-18,22.06
2017-09-19,24.73
2017-09-20,24.06
2017-09-21,23.57
2017-09-22,24.63
2017-09-23,27.74
2017-09-24,25.99
2017-09-25,24.17
2017-09-26,25.88
2017-09-27,27.11
2017-09-28,26.39
2017-09-29,25.09
2017-09-30,24.03
2017-10-01,26.05
2017-10-02,25.59
2017-10-03,26.35
2017-10-04,25.96
2017-10-05,26.59
2017-10-06,24.22
2017-10-07,27.01
2017-10-08,25.34
2017-10-09,28.16
2017-10-10,24.03
2017-10-11,27.68
2017-10-12,25.39
2017-10-13,24.13
2017-10-14,24.4
2017-10-15,24.67
2017-10-16,25.81
2017-10-17,25.98
2017-10-18,24.36
2017-10-19,25.21
2017-10-20,28.49
2017-10-21,27.89
2017-10-22,25.99
2017-10-23,25.42
2017-10-24,25.58
2017-10-25,26.35
2017-10-26,23.93
2017-10-27,25.12
2017-10-28,23.04
2017-10-29,26.18
2017-10-30,26.59
2017-10-31,24.94
2017-11-01,28.07
2017-11-02,23.91
2017-11-03,23.6
2017-11-04,26.18
2017-11-05,27.46
2017-11-06,28.47
2017-11-07,25.3
2017-11-08,27.66
2017-11-09,26.04
2017-11-10,25.89
2017-11-11,27.53
2017-11-12,27.24
2017-11-13,23.96
2017-11-14,28.6
2017-11-15,28.51
2017-11-16,25.56
2017-11-17,27.16
2017-11-18,27.37
2017-11-19,27.08
2017-11-20,25.93
2017-11-21,25.82
2017-11-22,26.85
2017-11-23,28.72
2017-11-24,27.84
2017-11-25,26.54
2017-11-26,28.32
2017-11-27,22.97
2017-11-28,29.03
2017-11-29,24.77
2017-11-30,26.91
2017-12-01,25.85
2017-12-02,25.66
2017-12-03,29.42
2017-12-04,27.06
2017-12-05,28.36
2017-12-06,27.84
2017-12-07,28.71
2017-12-08,28.19
2017-12-09,26.23
2017-12-10,29.73
2017-12-11,27.57
2017-12-12,26.06
2017-12-13,27.83
2017-12-14,30.81
2017-12-15,29.92
2017-12-16,28.2
2017-12-17,28.28
2017-12-18,28.41
2017-12-19,32.09
2017-12-20,29.63
2017-12-21,29.79
2017-12-22,30.77
2017-12-23,29.67
2017-12-24,29.01
2017-12-25,29.19
2017-12-26,29.46
2017-12-27,29.6
2017-12-28,30.83
2017-12-29,29.91
2017-12-30,31.01
2017-12-31,29.88
2018-01-01,30.2
2018-01-02,27.17
2018-01-03,31.63
2018-01-04,30.86
2018-01-05,31.93
2018-01-06,26.17
2018-01-07,33.73
2018-01-08,30.48
2018-01-09,32.43
2018-01-10,29.3
2018-01-11,31.86
2018-01-12,29.45
2018-01-13,30.17
2018-01-14,34.06
2018-01-15,30.99
2018-01-16,31.69
2018-01-17,32.75
2018-01-18,32.27
2018-01-19,31.83
2018-01-20,32.24
2018-01-21,35.37
2018-01-22,31.76
2018-01-23,32.23
2018-01-24,33.58
2018-01-25,33.74
2018-01-26,33.94
2018-01-27,33.2
2018-01-28,30.6
2018-01-29,34.84
2018-01-30,30.75
2018-01-31,33.0
2018-02-01,31.49
2018-02-02,32.59
2018-02-03,33.26
2018-02-04,33.32
2018-02-05,33.54
2018-02-06,35.39
2018-02-07,33.72
2018-02-08,32.74
2018-02-09,34.62
2018-02-10,35.03
2018-02-11,31.47
2018-02-12,34.27
2018-02-13,34.49
2018-02-14,33.05
2018-02-15,35.62
2018-02-16,33.39
2018-02-17,33.87
2018-02-18,33.48
2018-02-19,33.81
2018-02-20,32.2
2018-02-21,31.74
2018-02-22,36.35
2018-02-23,32.74
2018-02-24,32.57
2018-02-25,30.88
2018-02-26,33.2
2018-02-27,32.22
2018-02-28,36.71
2018-03-01,35.81
2018-03-02,33.31
2018-03-03,37.76
2018-03-04,35.89
2018-03-05,33.97
2018-03-06,30.75
2018-03-07,37.97
2018-03-08,32.49
2018-03-09,32.14
2018-03-10,36.17
2018-03-11,38.33
2018-03-12,36.78
2018-03-13,35.57
2018-03-14,35.65
2018-03-15,36.06
2018-03-16,35.94
2018-03-17,35.25
2018-03-18,35.01
2018-03-19,34.78
2018-03-20,33.76
2018-03-21,34.49
2018-03-22,32.38
2018-03-23,34.79
2018-03-24,33.47
2018-03-25,33.31
2018-03-26,35.24
2018-03-27,37.07
2018-03-28,36.36
2018-03-29,32.64
2018-03-30,33.51
2018-03-31,36.41
2018-04-01,33.53
2018-04-02,34.66
2018-04-03,35.82
2018-04-04,33.54
2018-04-05,35.15
2018-04-06,32.98
2018-04-07,34.07
2018-04-08,35.45
2018-04-09,32.57
2018-04-10,35.6
2018-04-11,34.9
2018-04-12,35.74
2018-04-13,35.23
2018-04-14,36.93
2018-04-15,35.05
2018-04-16,34.2
2018-04-17,35.0
2018-04-18,35.61
2018-04-19,34.84
2018-04-20,34.8
2018-04-21,33.66
2018-04-22,33.69
2018-04-23,32.55
2018-04-24,37.25
2018-04-25,32.72
2018-04-26,33.51
2018-04-27,33.44
2018-04-28,35.82
2018-04-29,34.0
2018-04-30,36.27
2018-05-01,33.35
2018-05-02,34.73
2018-05-03,33.02
2018-05-04,37.44
2018-05-05,32.4
2018-05-06,34.6
2018-05-07,35.03
2018-05-08,34.65
2018-05-09,33.7
2018-05-10,33.73
2018-05-11,33.94
2018-05-12,33.6
2018-05-13,35.21
2018-05-14,37.02
2018-05-15,32.81
2018-05-16,31.53
2018-05-17,33.4
2018-05-18,37.34
2018-05-19,32.2
2018-05-20,35.8
2018-05-21,35.79
2018-05-22,32.38
2018-05-23,34.0
2018-05-24,35.52
2018-05-25,32.44
2018-05-26,32.63
2018-05-27,32.0
2018-05-28,31.28
2018-05-29,31.75
2018-05-30,30.82
2018-05-31,32.63
2018-06-01,31.35
2018-06-02,32.78
2018-06-03,30.02
2018-06-04,32.78
2018-06-05,33.45
2018-06-06,29.13
2018-06-07,32.61
2018-06-08,33.81
2018-06-09,30.07
2018-06-10,34.32
2018-06-11,32.36
2018-06-12,30.59
2018-06-13,31.48
2018-06-14,32.32
2018-06-15,31.52
2018-06-16,32.13
2018-06-17,29.85
2018-06-18,31.41
2018-06-19,28.95
2018-06-20,30.82
2018-06-21,29.54
2018-06-22,29.71
2018-06-23,32.58
2018-06-24,32.28
